,dIMP,nSample,stdIMP
0,-7.448979591836735,98.0,15.141591893893331
64,-11.784090909090908,88.0,15.191541354286874
128,-12.8989898989899,99.0,16.60990026636174
192,-8.443181818181818,88.0,16.475089980817497
256,-11.010204081632653,98.0,15.212437780436666
320,-9.702970297029703,101.0,16.23865608889403
384,-10.33673469387755,98.0,15.636132851899978
448,-9.26,100.0,15.122579145106167
512,-9.117647058823529,102.0,16.94934443619012
576,-13.761363636363637,88.0,14.417472289947534
640,-10.266666666666667,90.0,15.615377036754506
704,-12.533333333333333,90.0,14.824304368165139
768,-14.344444444444445,90.0,15.592848154851216
832,-15.835051546391753,97.0,13.606154165777706
896,-10.505154639175258,97.0,17.242433697754144
960,-8.680851063829786,94.0,16.733335798198304
1024,-4.3,90.0,15.84820354347948
1088,-3.2244897959183674,98.0,17.278942364319864
1152,-6.6976744186046515,86.0,16.68801949278797
1216,-6.876404494382022,89.0,16.103471762408144
1280,-7.595744680851064,94.0,16.87142816347323
1344,-4.760416666666667,96.0,17.295679127835818
1408,-3.4838709677419355,93.0,15.612658844617224
1472,-3.386138613861386,101.0,15.652140774739772
1536,-1.3775510204081634,98.0,16.12294303040492
1600,-2.96875,96.0,15.758234041419954
1664,0.6699029126213593,103.0,15.475246974527186
1728,2.5686274509803924,102.0,14.098052851175604
1792,1.4954128440366972,109.0,13.641964300172262
1856,-0.4489795918367347,98.0,13.465088986254296
1920,4.303921568627451,102.0,13.061535518900357
1984,3.8461538461538463,104.0,13.47987761783155
2048,4.3545454545454545,110.0,12.947857922968897
2112,4.990291262135922,103.0,11.877608161718491
2176,4.4035087719298245,114.0,12.624620403010084
2240,3.324074074074074,108.0,12.571152090536566
2304,3.385321100917431,109.0,12.275812166469292
2368,6.221153846153846,104.0,11.884829317218161
2432,4.064814814814815,108.0,13.22474752832464
2496,5.73394495412844,109.0,13.15513797265307
2560,5.029126213592233,103.0,13.868632141957061
2624,2.672727272727273,110.0,13.212328327539804
2688,6.27,100.0,12.816282612364631
2752,1.5339805825242718,103.0,14.725195061249819
2816,5.918367346938775,98.0,14.63269575606443
2880,2.494949494949495,99.0,15.22051628252275
2944,5.696078431372549,102.0,14.253853428546119
3008,4.673469387755102,98.0,14.263393641326395
3072,4.088235294117647,102.0,14.552880545786486
3136,4.184466019417476,103.0,14.066932631064372
3200,6.6380952380952385,105.0,12.50152280973635
3264,5.555555555555555,99.0,15.314363906577224
3328,3.4271844660194173,103.0,16.16757028640891
3392,1.935483870967742,93.0,15.048885538426575
3456,3.9157894736842107,95.0,14.085949070575136
3520,7.3173076923076925,104.0,12.71149118459729
3584,5.047169811320755,106.0,13.973952909415443
3648,9.765217391304347,115.0,10.601337433905385
3712,4.0,102.0,12.060305982526183
3776,8.893203883495145,103.0,11.211915143785259
3840,6.527777777777778,108.0,13.248660542592203
3904,7.533333333333333,105.0,11.771690550328715
3968,8.457943925233645,107.0,12.375949221657404
4032,6.838383838383838,99.0,13.306569404140706
4096,7.08411214953271,107.0,11.637131591949844
4160,6.695238095238095,105.0,13.19316115014847
4224,7.373831775700935,107.0,13.224533533802006
4288,6.915094339622642,106.0,14.092094615474217
4352,6.730434782608696,115.0,12.769748040911198
4416,5.01980198019802,101.0,14.902973454400644
4480,5.733333333333333,105.0,13.411627270087177
4544,6.768518518518518,108.0,12.997582739281633
4608,7.745098039215686,102.0,12.2439951464892
4672,5.5,112.0,13.413079970152802
4736,6.153153153153153,111.0,12.545555329521832
4800,3.981132075471698,106.0,13.910075845916866
4864,5.398148148148148,108.0,14.465757661415212
4928,8.62962962962963,108.0,12.691928459102423
4992,6.111111111111111,108.0,13.139799122804513
5056,5.36936936936937,111.0,13.386781114641192
5120,7.696428571428571,112.0,11.905760374795085
5184,7.313725490196078,102.0,12.215371537820587
5248,7.266666666666667,105.0,11.071427547362983
5312,8.73076923076923,104.0,11.724588535695439
5376,7.572727272727272,110.0,12.004892253432718
5440,7.081818181818182,110.0,11.948474089098207
5504,6.066037735849057,106.0,11.758793472253194
5568,5.69811320754717,106.0,12.045644175793404
5632,6.936936936936937,111.0,12.992915102851127
5696,6.849056603773585,106.0,12.388972921650922
5760,6.663157894736842,95.0,13.153034891986188
5824,4.644230769230769,104.0,13.267889424957513
5888,6.450980392156863,102.0,12.980851244769399
5952,5.953703703703703,108.0,14.120109287203796
6016,8.650943396226415,106.0,11.478480647626153
6080,7.695652173913044,115.0,11.193300723933415
6144,4.970873786407767,103.0,13.888219713459057
6208,8.908256880733944,109.0,11.73760621736088
6272,6.5,106.0,12.605217548061686
6336,6.049019607843137,102.0,12.592697425515947
6400,7.20952380952381,105.0,13.294248837531024
6464,6.84070796460177,113.0,13.540869876817737
6528,4.09375,96.0,15.041663059787194
6592,5.102803738317757,107.0,13.474749372204453
