,dIMP,nSample,stdIMP
0,-6.396039603960396,101.0,14.55007006068042
64,-3.3217391304347825,115.0,14.242342153554086
128,1.608695652173913,115.0,12.684599119420996
192,1.564102564102564,117.0,12.262363107530849
256,1.2416666666666667,120.0,12.637243787929215
320,2.9159663865546217,119.0,10.687760872580299
384,3.813008130081301,123.0,11.054447358339896
448,2.6470588235294117,119.0,10.754391899637728
512,4.427350427350428,117.0,9.465471429887748
576,3.731707317073171,123.0,9.681155251506278
640,3.556451612903226,124.0,9.389684129623866
704,4.524590163934426,122.0,8.470017627049321
768,3.564516129032258,124.0,9.56239436836776
832,4.10655737704918,122.0,9.709558732058735
896,3.081967213114754,122.0,9.919008216496497
960,3.4214876033057853,121.0,9.399975440547925
1024,4.52,125.0,8.82505524062031
1088,4.312,125.0,8.853849784133454
1152,5.57258064516129,124.0,8.253223600017355
1216,4.903225806451613,124.0,8.699665691425151
1280,4.299212598425197,127.0,9.723998206102374
1344,4.144,125.0,9.006401279090333
1408,4.195121951219512,123.0,8.173582805565552
1472,3.6904761904761907,126.0,9.284279498431134
1536,4.901639344262295,122.0,9.034913914570405
1600,4.904761904761905,126.0,8.859958589810223
1664,5.370967741935484,124.0,8.267179319585685
1728,5.552,125.0,8.50360488263654
1792,4.174603174603175,126.0,9.389355138767234
1856,4.261904761904762,126.0,9.067803300102094
1920,3.6692913385826773,127.0,8.59413379685652
1984,4.817460317460317,126.0,8.328951985037502
2048,4.645161290322581,124.0,8.951656495098742
2112,4.3046875,128.0,9.352939539382458
2176,4.436507936507937,126.0,8.867182254742819
2240,5.648,125.0,7.909746898605542
2304,3.952755905511811,127.0,8.45447118134339
2368,3.826771653543307,127.0,8.92761308550896
2432,5.552,125.0,7.8173714252298385
2496,5.838709677419355,124.0,8.09857324827332
2560,5.346456692913386,127.0,8.68284393407814
2624,4.819672131147541,122.0,8.181362660001646
2688,5.137096774193548,124.0,7.7992293637290935
2752,4.576,125.0,7.780245754473311
2816,4.844262295081967,122.0,8.513268806238111
2880,4.609375,128.0,8.377084045739007
2944,2.763779527559055,127.0,8.584417940924286
3008,4.629032258064516,124.0,7.945852785121959
3072,5.096,125.0,8.814918263943234
3136,5.09375,128.0,8.188633032289333
3200,4.776,125.0,8.746989424939303
3264,5.258064516129032,124.0,7.485330780871576
3328,4.3984375,128.0,7.86838992797089
3392,5.84,125.0,7.203776787213774
3456,4.421875,128.0,8.789739557255096
3520,4.778688524590164,122.0,9.428342599930891
3584,4.4140625,128.0,8.341844205335757
3648,5.834645669291339,127.0,8.464621863949187
3712,3.811023622047244,127.0,8.394535421120688
3776,3.7142857142857144,126.0,7.828374461663043
3840,6.428571428571429,126.0,7.395224297046583
3904,5.7578125,128.0,7.571271869035199
3968,5.866141732283465,127.0,8.179446301962232
4032,5.150793650793651,126.0,8.412073202284596
4096,4.119047619047619,126.0,8.164583935449636
4160,5.141732283464567,127.0,8.812772057071637
4224,4.661417322834645,127.0,8.22538845976472
4288,4.2109375,128.0,8.30535627598803
4352,5.039370078740157,127.0,8.558645833356874
4416,5.1953125,128.0,7.877041990959788
4480,6.158730158730159,126.0,7.051300339848051
4544,4.568,125.0,8.433586188567707
4608,5.818897637795276,127.0,7.881421713981333
4672,5.023809523809524,126.0,8.40772914032393
4736,4.984251968503937,127.0,8.226119579612657
4800,4.0078125,128.0,8.611852382899032
4864,6.7421875,128.0,7.490875797584936
4928,3.848,125.0,8.990711651476763
4992,4.768,125.0,8.077758104820916
5056,5.078125,128.0,7.968305747420527
5120,5.3700787401574805,127.0,7.826668672780587
5184,5.480314960629921,127.0,8.07528590332781
5248,3.921875,128.0,8.904536567636464
5312,5.896825396825397,126.0,8.048296048666082
5376,4.32,125.0,7.852235350522805
5440,5.3125,128.0,8.25449688048884
5504,5.28125,128.0,7.605443671312016
5568,5.322834645669292,127.0,8.210691982465649
5632,5.404761904761905,126.0,8.15346705048292
5696,3.188976377952756,127.0,8.565387482871131
5760,4.7795275590551185,127.0,8.473128795658848
5824,4.188976377952756,127.0,8.626759579469088
5888,5.536,125.0,7.6299871559524926
5952,4.111111111111111,126.0,9.101039729737339
